contig window number,position in contig,number of reads starting in window,%GC content
NZ_LLJK01000001.1-90,9000-9100,65,0.395624627714301
NZ_LLJK01000001.1-91,9100-9200,59,0.402276158402044
NZ_LLJK01000001.1-92,9200-9300,56,0.394702153034963
NZ_LLJK01000001.1-93,9300-9400,59,0.379768969902501
NZ_LLJK01000001.1-94,9400-9500,83,0.378625496515027
NZ_LLJK01000001.1-95,9500-9600,63,0.356054365733114
NZ_LLJK01000001.1-96,9600-9700,60,0.321417985654158
NZ_LLJK01000001.1-97,9700-9800,50,0.296107784431138
NZ_LLJK01000001.1-98,9800-9900,56,0.259891619033479
NZ_LLJK01000001.1-99,9900-10000,89,0.282405063291139
NZ_LLJK01000001.1-100,10000-10100,46,0.275764309248333
NZ_LLJK01000001.1-101,10100-10200,39,0.274944214217405
NZ_LLJK01000001.1-102,10200-10300,58,0.273330616522093
NZ_LLJK01000001.1-103,10300-10400,43,0.283569209527097
NZ_LLJK01000001.1-104,10400-10500,49,0.274553241766357
NZ_LLJK01000001.1-105,10500-10600,88,0.297525122498131
NZ_LLJK01000001.1-106,10600-10700,71,0.298140801988243
NZ_LLJK01000001.1-107,10700-10800,46,0.305231542921003
NZ_LLJK01000001.1-108,10800-10900,67,0.289959720994204
NZ_LLJK01000001.1-109,10900-11000,71,0.302882222523868
NZ_LLJK01000001.1-110,11000-11100,71,0.301498578518768
NZ_LLJK01000001.1-111,11100-11200,60,0.32712925170068
NZ_LLJK01000001.1-112,11200-11300,68,0.348962802200575
NZ_LLJK01000001.1-113,11300-11400,49,0.37106874478152
NZ_LLJK01000001.1-114,11400-11500,63,0.389261744966443
NZ_LLJK01000001.1-115,11500-11600,70,0.372142552889394
NZ_LLJK01000001.1-116,11600-11700,61,0.366133682830931
NZ_LLJK01000001.1-117,11700-11800,42,0.366327960756832
NZ_LLJK01000001.1-118,11800-11900,62,0.383169609902902
NZ_LLJK01000001.1-119,11900-12000,63,0.394011909399521
NZ_LLJK01000001.1-120,12000-12100,66,0.36706672091131
NZ_LLJK01000001.1-121,12100-12200,65,0.383371824480369
NZ_LLJK01000001.1-122,12200-12300,39,0.356350184956843
NZ_LLJK01000001.1-123,12300-12400,74,0.304335559108436
NZ_LLJK01000001.1-124,12400-12500,41,0.289479545623283
NZ_LLJK01000001.1-125,12500-12600,60,0.296351575456053
NZ_LLJK01000001.1-126,12600-12700,52,0.344176553131777
NZ_LLJK01000001.1-127,12700-12800,80,0.374221766884703
NZ_LLJK01000001.1-128,12800-12900,73,0.38255934846647
NZ_LLJK01000001.1-129,12900-13000,68,0.394235717961915
NZ_LLJK01000001.1-130,13000-13100,60,0.409723744792809
NZ_LLJK01000001.1-131,13100-13200,78,0.406379208505611
NZ_LLJK01000001.1-132,13200-13300,74,0.402995563754557
NZ_LLJK01000001.1-133,13300-13400,67,0.390095363988292
NZ_LLJK01000001.1-134,13400-13500,81,0.383864595840273
NZ_LLJK01000001.1-135,13500-13600,94,0.379293876854852
NZ_LLJK01000001.1-136,13600-13700,59,0.383715313187698
NZ_LLJK01000001.1-137,13700-13800,65,0.39314535731648
NZ_LLJK01000001.1-138,13800-13900,65,0.389117689810553
NZ_LLJK01000001.1-139,13900-14000,65,0.383278625217223
NZ_LLJK01000001.1-140,14000-14100,70,0.374068217754687
NZ_LLJK01000001.1-141,14100-14200,63,0.375494276795005
NZ_LLJK01000001.1-142,14200-14300,66,0.377769943593876
NZ_LLJK01000001.1-143,14300-14400,70,0.366448112141081
NZ_LLJK01000001.1-144,14400-14500,63,0.343427357605098
NZ_LLJK01000001.1-145,14500-14600,71,0.293032209597145
NZ_LLJK01000001.1-146,14600-14700,65,0.246715010086691
NZ_LLJK01000001.1-147,14700-14800,63,0.252777939379836
NZ_LLJK01000001.1-148,14800-14900,54,0.293195509309967
NZ_LLJK01000001.1-149,14900-15000,52,0.39799442156993
NZ_LLJK01000001.1-150,15000-15100,57,0.43230823612584
NZ_LLJK01000001.1-151,15100-15200,49,0.442330210772834
NZ_LLJK01000001.1-152,15200-15300,58,0.392047365942273
NZ_LLJK01000001.1-153,15300-15400,67,0.355899312486139
NZ_LLJK01000001.1-154,15400-15500,65,0.32725985367005
NZ_LLJK01000001.1-155,15500-15600,43,0.310019678583142
NZ_LLJK01000001.1-156,15600-15700,64,0.316687294839369
NZ_LLJK01000001.1-157,15700-15800,47,0.353623593542526
NZ_LLJK01000001.1-158,15800-15900,62,0.349263346887046
NZ_LLJK01000001.1-159,15900-16000,67,0.340042372881356
NZ_LLJK01000001.1-160,16000-16100,77,0.314284476409168
NZ_LLJK01000001.1-161,16100-16200,57,0.351578586135896
NZ_LLJK01000001.1-162,16200-16300,51,0.423758406621831
NZ_LLJK01000001.1-163,16300-16400,80,0.423784006595218
NZ_LLJK01000001.1-164,16400-16500,60,0.401637193682112
NZ_LLJK01000001.1-165,16500-16600,55,0.355236863759257
NZ_LLJK01000001.1-166,16600-16700,58,0.34877617695892
NZ_LLJK01000001.1-167,16700-16800,55,0.386426433341008
NZ_LLJK01000001.1-168,16800-16900,51,0.387832699619772
NZ_LLJK01000001.1-169,16900-17000,61,0.368284369420549
NZ_LLJK01000001.1-170,17000-17100,58,0.330292397660819
NZ_LLJK01000001.1-171,17100-17200,64,0.309391361256544
NZ_LLJK01000001.1-172,17200-17300,70,0.337501705243054
NZ_LLJK01000001.1-173,17300-17400,69,0.346932335572285
NZ_LLJK01000001.1-174,17400-17500,45,0.342109222205506
NZ_LLJK01000001.1-175,17500-17600,45,0.342698231602966
NZ_LLJK01000001.1-176,17600-17700,82,0.346025015899936
NZ_LLJK01000001.1-177,17700-17800,71,0.355336945157305
NZ_LLJK01000001.1-178,17800-17900,57,0.369727891156463
NZ_LLJK01000001.1-179,17900-18000,65,0.368277341654883
NZ_LLJK01000001.1-180,18000-18100,86,0.37090099937539
NZ_LLJK01000001.1-181,18100-18200,49,0.361413227048571
NZ_LLJK01000001.1-182,18200-18300,56,0.336228287841191
NZ_LLJK01000001.1-183,18300-18400,74,0.323619178891405
NZ_LLJK01000001.1-184,18400-18500,59,0.332772133526851
NZ_LLJK01000001.1-185,18500-18600,63,0.330838000861698
NZ_LLJK01000001.1-186,18600-18700,86,0.347695158675006
NZ_LLJK01000001.1-187,18700-18800,47,0.36613475177305
NZ_LLJK01000001.1-188,18800-18900,56,0.414079243831401
NZ_LLJK01000001.1-189,18900-19000,51,0.437949143173024
NZ_LLJK01000001.1-190,19000-19100,53,0.379771843732076
NZ_LLJK01000001.1-191,19100-19200,56,0.339442773648073
NZ_LLJK01000001.1-192,19200-19300,63,0.324618621778012
NZ_LLJK01000001.1-193,19300-19400,71,0.343393187094329
NZ_LLJK01000001.1-194,19400-19500,39,0.366464712624857
NZ_LLJK01000001.1-195,19500-19600,55,0.364888941679534
NZ_LLJK01000001.1-196,19600-19700,62,0.362598912633902
NZ_LLJK01000001.1-197,19700-19800,55,0.373915699450214
NZ_LLJK01000001.1-198,19800-19900,54,0.379574405419336
NZ_LLJK01000001.1-199,19900-20000,67,0.396378269617706
NZ_LLJK01000001.1-200,20000-20100,69,0.397945114086198
NZ_LLJK01000001.1-201,20100-20200,55,0.393984514592019
NZ_LLJK01000001.1-202,20200-20300,64,0.385669229252907
NZ_LLJK01000001.1-203,20300-20400,67,0.381075697211155
NZ_LLJK01000001.1-204,20400-20500,55,0.394971058691728
NZ_LLJK01000001.1-205,20500-20600,48,0.414069690992768
NZ_LLJK01000001.1-206,20600-20700,62,0.389867611800271
NZ_LLJK01000001.1-207,20700-20800,49,0.351585014409222
NZ_LLJK01000001.1-208,20800-20900,60,0.308727948003714
NZ_LLJK01000001.1-209,20900-21000,53,0.321303291958985
NZ_LLJK01000001.1-210,21000-21100,66,0.352887749105092
NZ_LLJK01000001.1-211,21100-21200,51,0.397067448680352
NZ_LLJK01000001.1-212,21200-21300,61,0.372518840887379
NZ_LLJK01000001.1-213,21300-21400,68,0.376745406824147
NZ_LLJK01000001.1-214,21400-21500,50,0.361100971015551
NZ_LLJK01000001.1-215,21500-21600,51,0.405509603252488
NZ_LLJK01000001.1-216,21600-21700,56,0.420946560915356
NZ_LLJK01000001.1-217,21700-21800,78,0.396491228070175
NZ_LLJK01000001.1-218,21800-21900,59,0.377477686333604
NZ_LLJK01000001.1-219,21900-22000,67,0.361500131130344
NZ_LLJK01000001.1-220,22000-22100,94,0.390281487569345
NZ_LLJK01000001.1-221,22100-22200,63,0.409394561043606
NZ_LLJK01000001.1-222,22200-22300,65,0.436118417370866
NZ_LLJK01000001.1-223,22300-22400,73,0.375651418645049
NZ_LLJK01000001.1-224,22400-22500,53,0.357912234042553
NZ_LLJK01000001.1-225,22500-22600,69,0.348868778280543
NZ_LLJK01000001.1-226,22600-22700,62,0.376133008753302
NZ_LLJK01000001.1-227,22700-22800,62,0.376181474480151
NZ_LLJK01000001.1-228,22800-22900,49,0.392680646453853
NZ_LLJK01000001.1-229,22900-23000,79,0.414331774215522
NZ_LLJK01000001.1-230,23000-23100,72,0.427046110130452
NZ_LLJK01000001.1-231,23100-23200,62,0.427474166989004
NZ_LLJK01000001.1-232,23200-23300,49,0.4066874650028
NZ_LLJK01000001.1-233,23300-23400,42,0.359183191690274
NZ_LLJK01000001.1-234,23400-23500,50,0.346450304259635
NZ_LLJK01000001.1-235,23500-23600,50,0.313373684969016
NZ_LLJK01000001.1-236,23600-23700,55,0.321775219224848
NZ_LLJK01000001.1-237,23700-23800,48,0.301086612511868
NZ_LLJK01000001.1-238,23800-23900,46,0.284586746090841
NZ_LLJK01000001.1-239,23900-24000,47,0.370101168843925
NZ_LLJK01000001.1-240,24000-24100,135,0.362833962376296
NZ_LLJK01000001.1-241,24100-24200,54,0.342814191220685
NZ_LLJK01000001.1-242,24200-24300,39,0.340676229508197
NZ_LLJK01000001.1-243,24300-24400,53,0.330838832573644
NZ_LLJK01000001.1-244,24400-24500,84,0.327151709892128
NZ_LLJK01000001.1-245,24500-24600,64,0.323187694321715
NZ_LLJK01000001.1-246,24600-24700,61,0.328071106394269
NZ_LLJK01000001.1-247,24700-24800,28,0.33709606020363
NZ_LLJK01000001.1-248,24800-24900,25,0.354368932038835
NZ_LLJK01000001.1-249,24900-25000,25,0.338532435306629
NZ_LLJK01000001.1-250,25000-25100,30,0.341677096370463
NZ_LLJK01000001.1-251,25100-25200,82,0.323014018691589
NZ_LLJK01000001.1-252,25200-25300,78,0.341787381490928
NZ_LLJK01000001.1-253,25300-25400,80,0.362314743770949
NZ_LLJK01000001.1-254,25400-25500,65,0.398459213028426
NZ_LLJK01000001.1-255,25500-25600,53,0.3945630836952
NZ_LLJK01000001.1-256,25600-25700,56,0.396711314385277
NZ_LLJK01000001.1-257,25700-25800,56,0.409245797364834
NZ_LLJK01000001.1-258,25800-25900,71,0.416053628172202
NZ_LLJK01000001.1-259,25900-26000,57,0.4361642920748
NZ_LLJK01000001.1-260,26000-26100,53,0.456628477905074
NZ_LLJK01000001.1-261,26100-26200,56,0.493564533428674
NZ_LLJK01000001.1-262,26200-26300,44,0.50582025883884
NZ_LLJK01000001.1-263,26300-26400,49,0.486189326897291
NZ_LLJK01000001.1-264,26400-26500,55,0.420262319195881
NZ_LLJK01000001.1-265,26500-26600,53,0.38966557861674
NZ_LLJK01000001.1-266,26600-26700,54,0.386779519580378
NZ_LLJK01000001.1-267,26700-26800,55,0.37585798816568
NZ_LLJK01000001.1-268,26800-26900,55,0.343609677635547
NZ_LLJK01000001.1-269,26900-27000,90,0.346899647043444
NZ_LLJK01000001.1-270,27000-27100,65,0.398949070331447
NZ_LLJK01000001.1-271,27100-27200,76,0.446373942774879
NZ_LLJK01000001.1-272,27200-27300,46,0.441640813512582
NZ_LLJK01000001.1-273,27300-27400,72,0.406130268199234
NZ_LLJK01000001.1-274,27400-27500,70,0.397213508027311
NZ_LLJK01000001.1-275,27500-27600,57,0.384437086092715
NZ_LLJK01000001.1-276,27600-27700,73,0.371191264989968
NZ_LLJK01000001.1-277,27700-27800,50,0.337831291952114
NZ_LLJK01000001.1-278,27800-27900,57,0.32077598481253
NZ_LLJK01000001.1-279,27900-28000,54,0.271623113728377
NZ_LLJK01000001.1-280,28000-28100,66,0.265938637545502
NZ_LLJK01000001.1-281,28100-28200,62,0.301017418633143
NZ_LLJK01000001.1-282,28200-28300,62,0.334068965517241
NZ_LLJK01000001.1-283,28300-28400,65,0.413343442001516
NZ_LLJK01000001.1-284,28400-28500,71,0.415364001786512
NZ_LLJK01000001.1-285,28500-28600,71,0.388480392156863
NZ_LLJK01000001.1-286,28600-28700,47,0.335932986712883
NZ_LLJK01000001.1-287,28700-28800,63,0.286003942551394
NZ_LLJK01000001.1-288,28800-28900,55,0.284075173095945
NZ_LLJK01000001.1-289,28900-29000,41,0.330967015842784
NZ_LLJK01000001.1-290,29000-29100,57,0.360517985611511
NZ_LLJK01000001.1-291,29100-29200,55,0.393497317807144
NZ_LLJK01000001.1-292,29200-29300,56,0.376975554292211
NZ_LLJK01000001.1-293,29300-29400,58,0.358482477762298
NZ_LLJK01000001.1-294,29400-29500,64,0.352726180343464
NZ_LLJK01000001.1-295,29500-29600,56,0.341529892753451
NZ_LLJK01000001.1-296,29600-29700,59,0.381960556844548
NZ_LLJK01000001.1-297,29700-29800,52,0.42134901764485
NZ_LLJK01000001.1-298,29800-29900,62,0.423084896859127
NZ_LLJK01000001.1-299,29900-30000,55,0.388702977152089
NZ_LLJK01000001.1-300,30000-30100,56,0.362496285289747
NZ_LLJK01000001.1-301,30100-30200,53,0.357920122345744
NZ_LLJK01000001.1-302,30200-30300,56,0.358266298475207
NZ_LLJK01000001.1-303,30300-30400,54,0.365083178187496
NZ_LLJK01000001.1-304,30400-30500,61,0.376478052719617
NZ_LLJK01000001.1-305,30500-30600,59,0.381078167115903
NZ_LLJK01000001.1-306,30600-30700,62,0.360010346611485
NZ_LLJK01000001.1-307,30700-30800,62,0.342231879559211
NZ_LLJK01000001.1-308,30800-30900,64,0.340339085072231
NZ_LLJK01000001.1-309,30900-31000,55,0.345627333408757
NZ_LLJK01000001.1-310,31000-31100,38,0.35058983280998
NZ_LLJK01000001.1-311,31100-31200,75,0.384204301546279
NZ_LLJK01000001.1-312,31200-31300,70,0.404247578334622
NZ_LLJK01000001.1-313,31300-31400,47,0.402882906601725
NZ_LLJK01000001.1-314,31400-31500,54,0.372119487908962
NZ_LLJK01000001.1-315,31500-31600,65,0.339724966104978
NZ_LLJK01000001.1-316,31600-31700,49,0.342134428580742
NZ_LLJK01000001.1-317,31700-31800,58,0.352688302252361
NZ_LLJK01000001.1-318,31800-31900,73,0.326253147173266
NZ_LLJK01000001.1-319,31900-32000,43,0.328109547356409
NZ_LLJK01000001.1-320,32000-32100,33,0.342481241648679
NZ_LLJK01000001.1-321,32100-32200,52,0.35049652717984
NZ_LLJK01000001.1-322,32200-32300,57,0.36962071480671
NZ_LLJK01000001.1-323,32300-32400,46,0.362146849398974
NZ_LLJK01000001.1-324,32400-32500,60,0.375814955496343
NZ_LLJK01000001.1-325,32500-32600,45,0.389041095890411
NZ_LLJK01000001.1-326,32600-32700,57,0.348976002010303
NZ_LLJK01000001.1-327,32700-32800,52,0.29111862708255
NZ_LLJK01000001.1-328,32800-32900,45,0.241317653531394
NZ_LLJK01000001.1-329,32900-33000,56,0.213673536146549
NZ_LLJK01000001.1-330,33000-33100,44,0.228446427039547
NZ_LLJK01000001.1-331,33100-33200,52,0.248914722978442
NZ_LLJK01000001.1-332,33200-33300,65,0.303192931099908
NZ_LLJK01000001.1-333,33300-33400,65,0.338911300363564
NZ_LLJK01000001.1-334,33400-33500,63,0.359890890492698
NZ_LLJK01000001.1-335,33500-33600,63,0.37037037037037
NZ_LLJK01000001.1-336,33600-33700,83,0.346568045069559
NZ_LLJK01000001.1-337,33700-33800,55,0.363450740173558
NZ_LLJK01000001.1-338,33800-33900,77,0.350302221524452
NZ_LLJK01000001.1-339,33900-34000,55,0.353827132741373
NZ_LLJK01000001.1-340,34000-34100,45,0.339414163885799
NZ_LLJK01000001.1-341,34100-34200,70,0.35593802309112
NZ_LLJK01000001.1-342,34200-34300,43,0.379161929511126
NZ_LLJK01000001.1-343,34300-34400,43,0.411719418306245
NZ_LLJK01000001.1-344,34400-34500,55,0.442523023918373
NZ_LLJK01000001.1-345,34500-34600,83,0.446612744468695
NZ_LLJK01000001.1-346,34600-34700,44,0.443219724437999
NZ_LLJK01000001.1-347,34700-34800,69,0.440231362467866
NZ_LLJK01000001.1-348,34800-34900,79,0.419328977432156
NZ_LLJK01000001.1-349,34900-35000,79,0.410862828249878
NZ_LLJK01000001.1-350,35000-35100,53,0.405575952271684
NZ_LLJK01000001.1-351,35100-35200,60,0.42585821099165
NZ_LLJK01000001.1-352,35200-35300,80,0.415734279365327
NZ_LLJK01000001.1-353,35300-35400,79,0.4016531578525
NZ_LLJK01000001.1-354,35400-35500,63,0.405663249771643
NZ_LLJK01000001.1-355,35500-35600,64,0.393169535907293
NZ_LLJK01000001.1-356,35600-35700,50,0.403788069468915
NZ_LLJK01000001.1-357,35700-35800,53,0.397399380804954
NZ_LLJK01000001.1-358,35800-35900,47,0.410567168244025
NZ_LLJK01000001.1-359,35900-36000,70,0.403810218312748
NZ_LLJK01000001.1-360,36000-36100,39,0.375564069816943
NZ_LLJK01000001.1-361,36100-36200,34,0.359389715577321
NZ_LLJK01000001.1-362,36200-36300,55,0.340844215001518
NZ_LLJK01000001.1-363,36300-36400,61,0.340395638979431
NZ_LLJK01000001.1-364,36400-36500,59,0.358635441232929
NZ_LLJK01000001.1-365,36500-36600,57,0.345500848896435
NZ_LLJK01000001.1-366,36600-36700,41,0.330130859698526
NZ_LLJK01000001.1-367,36700-36800,47,0.31215787957361
NZ_LLJK01000001.1-368,36800-36900,60,0.331575066643979
NZ_LLJK01000001.1-369,36900-37000,53,0.378847076564535
NZ_LLJK01000001.1-370,37000-37100,49,0.401120295102125
NZ_LLJK01000001.1-371,37100-37200,65,0.400563890846843
NZ_LLJK01000001.1-372,37200-37300,57,0.383828996282528
NZ_LLJK01000001.1-373,37300-37400,57,0.393777373300722
NZ_LLJK01000001.1-374,37400-37500,64,0.409196494562348
NZ_LLJK01000001.1-375,37500-37600,59,0.440472823935298
NZ_LLJK01000001.1-376,37600-37700,48,0.442403585179575
NZ_LLJK01000001.1-377,37700-37800,58,0.447609638289698
NZ_LLJK01000001.1-378,37800-37900,58,0.441464277293091
NZ_LLJK01000001.1-379,37900-38000,65,0.417812040371253
NZ_LLJK01000001.1-380,38000-38100,69,0.421217547000895
NZ_LLJK01000001.1-381,38100-38200,56,0.414120608765305
NZ_LLJK01000001.1-382,38200-38300,48,0.434638459109567
NZ_LLJK01000001.1-383,38300-38400,56,0.451106615167678
NZ_LLJK01000001.1-384,38400-38500,55,0.440511189776205
NZ_LLJK01000001.1-385,38500-38600,60,0.441436554006402
NZ_LLJK01000001.1-386,38600-38700,54,0.422001859312055
NZ_LLJK01000001.1-387,38700-38800,72,0.408941916874263
NZ_LLJK01000001.1-388,38800-38900,56,0.40466774355261
NZ_LLJK01000001.1-389,38900-39000,55,0.376259481489868
NZ_LLJK01000001.1-390,39000-39100,55,0.362684065605172
NZ_LLJK01000001.1-391,39100-39200,61,0.352123025245368
NZ_LLJK01000001.1-392,39200-39300,69,0.324431504442548
NZ_LLJK01000001.1-393,39300-39400,67,0.29956032275209
NZ_LLJK01000001.1-394,39400-39500,65,0.302320686207441
NZ_LLJK01000001.1-395,39500-39600,67,0.296773245850267
NZ_LLJK01000001.1-396,39600-39700,59,0.301258327165063
NZ_LLJK01000001.1-397,39700-39800,57,0.282977954463318
NZ_LLJK01000001.1-398,39800-39900,54,0.292737501598261
NZ_LLJK01000001.1-399,39900-40000,71,0.327541134860834
NZ_LLJK01000001.1-400,40000-40100,69,0.358597233074413
NZ_LLJK01000001.1-401,40100-40200,51,0.365000327589596
NZ_LLJK01000001.1-402,40200-40300,64,0.36332647663826
NZ_LLJK01000001.1-403,40300-40400,71,0.353659115733485
NZ_LLJK01000001.1-404,40400-40500,55,0.357156326607581
NZ_LLJK01000001.1-405,40500-40600,52,0.397587201678468
NZ_LLJK01000001.1-406,40600-40700,49,0.419491187495016
NZ_LLJK01000001.1-407,40700-40800,39,0.425424413904608
NZ_LLJK01000001.1-408,40800-40900,58,0.405994095036488
NZ_LLJK01000001.1-409,40900-41000,43,0.416925351071692
NZ_LLJK01000001.1-410,41000-41100,62,0.39733850845578
NZ_LLJK01000001.1-411,41100-41200,70,0.362433628318584
NZ_LLJK01000001.1-412,41200-41300,71,0.321729520652024
NZ_LLJK01000001.1-413,41300-41400,61,0.348902406770696
NZ_LLJK01000001.1-414,41400-41500,52,0.332284059430874
NZ_LLJK01000001.1-415,41500-41600,56,0.335346702101957
NZ_LLJK01000001.1-416,41600-41700,41,0.324600900532133
NZ_LLJK01000001.1-417,41700-41800,48,0.327750255563419
NZ_LLJK01000001.1-418,41800-41900,58,0.340441260093256
NZ_LLJK01000001.1-419,41900-42000,53,0.335192251247432
NZ_LLJK01000001.1-420,42000-42100,52,0.336796706528132
NZ_LLJK01000001.1-421,42100-42200,57,0.338829579117992
NZ_LLJK01000001.1-422,42200-42300,47,0.354751880737111
NZ_LLJK01000001.1-423,42300-42400,70,0.348036362007971
NZ_LLJK01000001.1-424,42400-42500,51,0.360717599752552
NZ_LLJK01000001.1-425,42500-42600,62,0.371173400763975
NZ_LLJK01000001.1-426,42600-42700,44,0.408137715179969
NZ_LLJK01000001.1-427,42700-42800,56,0.413680595306239
NZ_LLJK01000001.1-428,42800-42900,51,0.415446880269814
NZ_LLJK01000001.1-429,42900-43000,67,0.404398136552622
NZ_LLJK01000001.1-430,43000-43100,50,0.374462596732588
NZ_LLJK01000001.1-431,43100-43200,58,0.39218344064159
NZ_LLJK01000001.1-432,43200-43300,55,0.414553157382493
NZ_LLJK01000001.1-433,43300-43400,47,0.425736189725586
NZ_LLJK01000001.1-434,43400-43500,82,0.431768728629158
NZ_LLJK01000001.1-435,43500-43600,56,0.408835149048246
NZ_LLJK01000001.1-436,43600-43700,57,0.399710757592613
NZ_LLJK01000001.1-437,43700-43800,63,0.423679984887126
NZ_LLJK01000001.1-438,43800-43900,77,0.440484304213607
NZ_LLJK01000001.1-439,43900-44000,67,0.425510641336952
